name	term	lev	seq	value
"positive regulation of DNA metabolic process"	GO:0051054	2	c_sym_16672	-1.0616519910177211
"positive regulation of DNA metabolic process"	GO:0051054	2	c_sym_26394	-0.6463015338523009
"positive regulation of DNA metabolic process"	GO:0051054	2	c_sym_26521	-1.1790851722638473
"positive regulation of DNA metabolic process"	GO:0051054	2	c_sym_29440	1.197584220776771
"positive regulation of DNA metabolic process"	GO:0051054	2	c_sym_35084	0.9039661712838161
"small molecule biosynthetic process"	GO:0046394;GO:0016053;GO:0044283	3	c_sym_358	0.05225749049649879
"small molecule biosynthetic process"	GO:0046394;GO:0016053;GO:0044283	3	c_sym_603	0.42076254900250154
"small molecule biosynthetic process"	GO:0046394;GO:0016053;GO:0044283	3	c_sym_690	1.2508391045219762
"small molecule biosynthetic process"	GO:0046394;GO:0016053;GO:0044283	3	c_sym_1916	-1.756981500550863
"small molecule biosynthetic process"	GO:0046394;GO:0016053;GO:0044283	3	c_sym_2173	-0.5116274552236812
"small molecule biosynthetic process"	GO:0046394;GO:0016053;GO:0044283	3	c_sym_2248	0.23890346607381535
"small molecule biosynthetic process"	GO:0046394;GO:0016053;GO:0044283	3	c_sym_2583	-0.4844452660273322
"small molecule biosynthetic process"	GO:0046394;GO:0016053;GO:0044283	3	c_sym_4635	-0.09963657809099541
"small molecule biosynthetic process"	GO:0046394;GO:0016053;GO:0044283	3	c_sym_5028	-0.5438032410040101
"small molecule biosynthetic process"	GO:0046394;GO:0016053;GO:0044283	3	c_sym_5091	-1.643865971173086
"small molecule biosynthetic process"	GO:0046394;GO:0016053;GO:0044283	3	c_sym_5981	-0.694458143832948
"small molecule biosynthetic process"	GO:0046394;GO:0016053;GO:0044283	3	c_sym_6056	-1.6544132871910302
"small molecule biosynthetic process"	GO:0046394;GO:0016053;GO:0044283	3	c_sym_7018	-0.15309510135859522
"small molecule biosynthetic process"	GO:0046394;GO:0016053;GO:0044283	3	c_sym_7149	0.45070164652425615
"small molecule biosynthetic process"	GO:0046394;GO:0016053;GO:0044283	3	c_sym_7164	-0.6518100978931176
"small molecule biosynthetic process"	GO:0046394;GO:0016053;GO:0044283	3	c_sym_7809	0.5234417316934189
"small molecule biosynthetic process"	GO:0046394;GO:0016053;GO:0044283	3	c_sym_7991	-1.8506623479051578
"small molecule biosynthetic process"	GO:0046394;GO:0016053;GO:0044283	3	c_sym_8098	-0.4019155509867106
"small molecule biosynthetic process"	GO:0046394;GO:0016053;GO:0044283	3	c_sym_8188	0.46659580281008195
"small molecule biosynthetic process"	GO:0046394;GO:0016053;GO:0044283	3	c_sym_8560	-1.0397722252151638
"small molecule biosynthetic process"	GO:0046394;GO:0016053;GO:0044283	3	c_sym_8587	-0.8295529128806309
"small molecule biosynthetic process"	GO:0046394;GO:0016053;GO:0044283	3	c_sym_8714	-1.5856932248987154
"small molecule biosynthetic process"	GO:0046394;GO:0016053;GO:0044283	3	c_sym_8970	-0.23725434725630395
"small molecule biosynthetic process"	GO:0046394;GO:0016053;GO:0044283	3	c_sym_9126	-0.8789259175474402
"small molecule biosynthetic process"	GO:0046394;GO:0016053;GO:0044283	3	c_sym_9841	-0.7089228804434374
"small molecule biosynthetic process"	GO:0046394;GO:0016053;GO:0044283	3	c_sym_10489	-0.38192256796752955
"small molecule biosynthetic process"	GO:0046394;GO:0016053;GO:0044283	3	c_sym_10749	-0.4181327092729173
"small molecule biosynthetic process"	GO:0046394;GO:0016053;GO:0044283	3	c_sym_12990	-0.09633694737475162
